相关编号,决定税号,商品名称（中文）,商品名称（英文）,商品名称（其他）,商品描述,发布单位
R-2-0100-2024-0051,73071900,不锈钢快速接头,316SS QUICK COUPING FITTING,,2寸快速接头，633F-SS20; 633D-SS20; 633B-SS20，不需要工具就能实现管路连通或断开，末端螺纹连接。性能指标：承压泄露量。快速连接和断开；用途：用于输送介质管道之间的快速连接和断开；成分：含钼不锈钢种，316SS不锈钢，铸造，150PSI压力下做泄露测试 ；加工方法：铸造；包装：纸箱包装。,北京海关
R-2-4200-2024-0026,84141000,真空泵,无英文名称,,真空泵的结构配置为齿轮箱、电机、机械增压泵、控制器、干泵、止回阀、通讯接口、真空泵显示终端、真空泵显示终端用支架、隔离阀.真空泵的进口报验状态为成套散件（其中齿轮箱、电机、机械增压泵、控制器、干泵已装配）.真空泵的价值组成为干泵系统（干泵、齿轮箱、电机、机械增压泵、控制器）价值占比为81.11%、隔离阀价值占比为12.17%、止回阀及保护罩价值占比为1.27%、通讯接口价值占比1.37%、真空泵显示终端及支架价值占比1.27%、其余电源线、螺母、螺栓、卡钳等价值占比2.81%.用途为主要用于半导体制造行业，在生产过程中需要利用真空泵将反应室抽取成真空环境，或者将制备环节多余的工艺气体抽出。三、工作原理为首先，电机是真空泵的动力核心，通过齿轮箱传递动力给机械增压泵。齿轮箱内的齿轮经过精密设计，确保动力传递的准确性和稳定性。机械增压泵通过内部机械结构对气体进行压缩和抽取。当电机驱动齿轮箱旋转时，机械增压泵开始工作，将气体从入口吸入，并通过压缩后从出口排出。控制器负责监控和控制整个系统的运行状态。它通过接收来自真空泵显示终端的指令，精确调整机械增压泵的工作参数，以满足不同的真空需求。干泵的作用是在抽取过程中进一步去除系统中的残余气体和杂质，提高真空度。它通过其特有的工作原理，有效清除系统中的残留物，保证系统的纯净度。止回阀能够防止气体倒流，确保系统的单向流动；而隔离阀则用于隔离真空泵与系统其他部分，便于进行维护和检修操作。通讯接口使得真空泵可以与外部设备或系统进行连接和通信，实现远程监控和控制功能。这为用户提供了更加便捷的操作方式，提高了系统的灵活性和可扩展性。最后，真空泵显示终端为用户提供直观的操作界面和实时的系统状态显示。用户可以通过显示终端查看真空度、工作参数等信息，并进行相应的调整和设置，以满足实际应用需求。综上所述，真空泵通过电机、机械增压泵、控制器等关键部件的协同工作，实现了高效稳定的真空抽取过程。同时，干泵、止回阀、等部件的辅助作用，进一步提升了系统的性能和可靠性。,青岛海关
R-2-4700-2024-0072,30043900,甘精胰岛素注射液（含笔式注射器）,Insulin Glargine Injection（Disposable Injection Pen included）,,"用途：糖尿病治疗用。样品出口用于产品测试。
包装规格： 3ml甘精胰岛素注射液/笔芯（卡式瓶），经专用设备组装成销售包装笔式注射器（含注射液，不含针头）。笔式注射器在注射液使用完毕后不可重复使用。
甘精胰岛素注射液外观：无色透明液体
甘精胰岛素注射液成分含量：甘精胰岛素0.36%，甘油（供注射用）1.7%，间甲酚0.27%，注射用水97.67%。
主要成分：甘精胰岛素
英文名称：Insulin glargine 
CAS号: 160337-95-1
分子式：C267H404N72O78S6 
分子量：6063
精确质量：6063
作用：调节糖代谢。胰岛素是通过促进骨骼肌和脂肪等周围组织摄取葡萄糖、抑制肝葡萄糖的产生而降低血糖的。胰岛素能抑制脂肪细胞内的脂解、抑制蛋白水解和促进蛋白质合成。
其他成分作用：
甘油（供注射用）：渗透压调节剂，用于将甘精胰岛素注射液渗透压调节至与血清渗透压一致，避免注射后产生不适感；
间甲酚：抑菌剂，用于抑制药液中微生物的生长，延长药液的保质期；
注射用水：溶剂，用于溶解甘精胰岛素和其它成分。
甘精胰岛素注射液生产工艺：
1.卡式瓶清洗：通过超声波清洗机对卡式瓶进行清洗。
2.卡式瓶灭菌：通过高温灭菌隧道对卡式瓶进行高温灭菌。
3.铝盖和胶塞清洗：通过专用清洗机对胶塞和铝盖进行清洗和灭菌。
4.无菌灌封：通过专用灌封机将胶塞推入卡式瓶底部，然后灌注甘精胰岛素药液进卡式瓶，最后用铝盖对卡式瓶进行封口。",武汉海关
R-2-2200-2024-0251,84791090,混凝土喷射台车,Mobile Concrete Sprayer,自推进混凝土喷射机,"品名：混凝土喷射台车
品牌：Normet
规格型号： Alpha 20
出厂商品序列号：EL985，EL986 （二台）
原产地：智利
用途：用于地下矿山巷道和隧道工程中的混凝土喷射作业 
功能：
作为隧道开挖的辅助工艺，将混凝土高速喷射到作业面，经快速凝结硬化后形成混凝土支护层，对巷道岩石起支护作用。
工作原理：
此设备工作时需要外接压缩空气。混凝土泵将预拌混凝土泵送至输送管道，速凝剂泵将速凝剂泵送至输送管道，风管连结外接压缩空气风源。混凝土、速凝剂及压缩空气通过各自管道输送至喷浆臂前端的喷头汇集结构，混合后通过喷嘴高速喷射至岩层表面。
结构：
混凝土喷射台车是自推进式混凝土喷射机，由推进底座、控制装置、作业部件及操纵装置组装在一起。主要部件包括：驾驶室、发动机、液压泵和液压马达组成的静液传动装置、驱动桥、制动、转向装置、喷射臂、混凝土泵、速凝剂系统、无线遥控系统、液压支腿、液压系统和电路系统。
整机由发动机提供动力，液压泵连结在发动机输出端，将动力传输至液压系统，行走和作业均为液压控制。喷射臂、混凝土泵、速凝剂系统、液压支腿、传动、转向和制动由同一个液压系统控制。
推进底座和控制、操纵装置的电路集成在统一的电路系统，由主板连结三个控制面板组成。推进装置控制按钮、液压系统控制按钮、推进和作业选择按钮、液压支腿操纵杆、整机紧急停机按钮、 混凝土泵振捣器控制按钮等安装在作业机器驾驶室内的控制面板上，其他作业通过无线遥控器操作。
设备各组件在液压系统和电路结构上形成一个整体不可分割。如将推进装置与作业、控制装置拆分，则该设备既不具备行驶功能，也实现不了喷射作业功能。设备没有变速箱和换挡控制器，不具备车辆底盘。
设备有推进发动机、转向和制动装置，没有变速箱及换挡操纵装置。
性能指标：
理论喷射能力20立方/小时，喷射臂在巷道中的覆盖范围达到5米x 5米。
生产商提供的技术资料及其中文翻译请见附件。",上海海关
R-2-2200-2024-0249,62114390,女式夹克,WOVEN WOMAN'S CASUAL JACKET,女士休闲夹克,成分含量：锦纶100%，有轻微防水涂层（肉眼不可见）；该女式夹克（货号：8079011)由100%锦纶机织物裁剪缝制而成，织物面料表面有轻微防水涂层，但肉眼不可见：无衬里；长袖，弹性袖口：带兜帽，从领口处全开襟，门襟采用双向拉链闭合：腰两侧有拉链口袋：衣服下摆有抽绳。用途：适合女成人上半身穿着；该款服装为 Burberry 经典格纹图案的轻质尼龙夹克，造型轻便、活泼、运动，适合女士休闲时光穿着，其不带衬里不具备御寒的功能,上海海关
R-2-3500-2024-0038,84869099,铜背板,CU BACKING PLATE,,是溅射靶材用铜背板可以反复使用，溅射靶材组件由裸靶和支撑背板两部分组成，背板与裸靶通过焊接连接为一体。背板通常带有与溅射机配合的连接孔、定位突起或卡环、卡口等结构。该铜背板是工业用，内部有水路通道，用于靶材降温，水路背板实际就是在普通实心背板的基础上，先内部铣凹槽加工，然后凹槽就是水路，表面再通过搅拌摩擦焊接盖板，加工工艺：铜板进料后经过粗加工、铣槽、盖板加工、打磨毛刺、搅拌摩擦焊、铣焊接面、精加工、攻牙、镶牙套、刻字、烫伤、烘干等一系列处理。材质为铜。包装:铝箱,福州海关
R-2-2200-2024-0245,39119000,DFE627 活性酯固化剂,DFE627 Active Resin,,"规格：200KGS/闭口钢桶，型号：DFE627，品牌：东材，成分含量：聚酯树脂（低分子含酯基齐聚物）65%；甲苯（溶剂）35%。用途：本产品属于电子专用化学品，本品自身的聚合度（DP、X n）：2~4 重均分子量Mw为2665（GPC测定）活性酯树脂为甲萘酚-双环戊二烯-苯酚-间苯二甲酸共聚物，单体单元种类比例为：甲萘酚10%双环戊二烯20%苯酚40%间苯二甲酸30%。 本品设计理论：利用活性酯树脂酯基变成环氧基团使其具有自固化特性这一化学机理来设计该产品。 DFE627活性酯固化剂与环氧树脂反应的原理是：在活性酯树脂与环氧树脂配方的胶液体系中，环氧树脂的环氧基团被催化剂开环后所产生的负氧离子进攻活性酯树脂中酯基结构上的羰基碳，使酯基断链，酰基转移产生新的酯基及醚键与开环后的环氧分子结构结合完成固化反应。得到的反应产物：含不同骨架活性酯的环氧固化物即改性的环氧树脂（该反应产物的聚合度（DP、X n）： 10~50，固化物Tg可达255℃,介电常数（10GHz）为3.8，介电损耗角正切为（10GHz）0.008，吸水率为0.12%，阻燃性能达到V-0级别。） 使用方法：DFE627活性酯固化剂与环氧树脂混合后，得到反应产物，再依据配方添加配料（包含环氧树脂,阻燃剂,填料和促进剂）后生成配置组合物。该组合物用于覆铜箔层压板的生产制备。 本品(DFE627活性酯固化剂)制备方法是：将苯酚和双环戊二烯进行加成反应，加成反应的反应温度为100～150℃在甲苯、二甲苯芳香族溶剂中进行，得到双环戊二烯苯酚树脂；对该双环戊二烯苯酚树脂的酚羟基进行酯化，酯化采用酸酐或酰氯来进行，酯化反应在碱催化剂的催化下进行，同样地，上述酯化反应根据需要在甲苯、二甲苯芳香族有机溶剂中进行，对于酯化反应后得到的反应体系静置分层并除去水层，对余下的有机层进行多次水洗分液，直至pH值达到中性，进一步再采用水洗中和的方式除去其中的碱催化剂，得到纯净的活性酯树脂（低分子含酯基齐聚物）。将65%活性酯树脂溶于甲苯（溶剂）制得本品。 本品特点：具有双环戊二烯与苯酯的交替结构，一方面其主链中含有的双环戊二烯结构，使其作为固化剂与环氧树脂反应后的固化产物具有很好的低吸湿性、低介电常数和介质损耗角正切等优良性质，另一方面其结构中活性酯结构的含量较高，使其在与环氧树脂的反应中具有非常高的反应活性。",上海海关
R-2-7200-2024-0007,28211000,铁精粉,/,,铁精粉主要成分含量：含氧化铁88.13%，六水合硫酸镍5.5%，氧化硅1.96%，氧化铝0.19%，水分3.21%；(硫酸镍、氧化硅、氧化铝均属于杂质)                                                                                                                                                  铁精粉主要用途：高炉炼铁的原料，状态为粉末带水份（泥状），大小约10-30微米，以吨袋形式包装。                                                                                                                                                        高冰镍原料中的Fe（单质＆合金）与浓硫酸、氧气经过浸出、除杂反应生成Fe（OH）3，Fe（OH）3及铁硫化物进入加压釜在高温高压条件下水解生成Fe2O3，经浓密分离、压滤机压滤后产出合格铁精粉。                                                                                                                                                                                                                                                                                                                    主要化学反应方程式如下：①常压酸浸反应方程式：原料中Fe（单质＆合金）与硫酸反应生成二价铁，加纯氧后生成三价铁：4Fe2++4H++O2=4Fe3++2H2O；提高PH后生成氢氧化铁：Fe3++ 3H2O=Fe(OH) 3+3H+；②加压酸浸反应方程式：加压酸溶后形成三价铁，再通过反应形成三氧化二铁FexSy+O2+H2O→Fe2O3+H2SO4，2Fe(OH)3+3H2SO4→Fe2(SO4)3+3H2O，Fe2(SO4)3+3H2O → Fe2O3+3H2SO4                                                                                                                                                                                                                                                                                            主要工艺：铁精粉生产流程中，第一段常压环境下原料中Fe（单质＆合金）部分加硫酸后浸出，硫化铁在常压下不易浸出，故进入第二段加压浸出，常压下加工提取的氧化铁纯度还达不到铁精粉的氧化铁纯度标准，因此要进行加压继续提取，提高最后生成铁精粉的氧化铁含量。加压工序必不可少，否则铁精粉氧化铁无法达到含量标准。铁精粉作用是炼铁原料，不是催化剂，起到作用等同于铁矿石。,南宁海关
R-2-3100-2024-0086,21069090,男士番茄红素补充剂,男士番茄红素补充剂,,"1、规格：90粒/盒。2、用途：保健食品。功能：专为男性设计，含锌、番茄红素&硒的氧化剂，支持精子健康。商品外包装无OTC标识。3、成分：d-α-生育酚 20.489 %, 羟丙基淀粉 15.436 %, 甘油 12.524 %,  豆油 7.5 %, 抗坏血酸 11.013 %, 硫酸锌一水合物（锌） 5.039 %, 卡拉胶 5.009 %, 卵磷脂 1.602 %, 大蒜油 0.073 %, 叶酸 0.051 %,硒 0.005 %, 番茄红素 4.806%, 蜂蜡黄色 3.094%, 净化水 2.934%, 氢化植物油9.32%, 磷酸氢钙 0.36%, 磷酸二钠 0.45%, 氧化铁 0.295%",宁波海关
R-2-4700-2024-0070,85235110,移动固态硬盘,无,,"1.规格型号：无型号；2.结构组成：移动固态硬盘是用固态电子存储芯片制成的移动硬盘，由主控制器、存储单元（闪存芯片）组成；3.工作原理：该产品是用固态电子存储（闪存）阵列制成的硬盘，由控制单元（控制芯片）和存储单元（闪存芯片）组成，上述部件通常焊接在一块电路板上。控制芯片的作用是负责读取、写入数据；闪存芯片用于存储数据；4.功能：存储个人数据信息，该产品为便携式移动固态硬盘；5.用途：外置于电脑，手机，平板等带有USB Type-C 接口设备的存储扩展设备,移动固态硬盘属非易失性移动存储器，应用于高性能计算、消费级存储器。",武汉海关
R-2-4700-2024-0069,30043900,甘精胰岛素注射液,Insulin Glargine Injection,,"用途：糖尿病治疗用。样品出口用于产品测试。
外观：无色透明液体
规格：3ML/瓶
包装种类：卡式瓶
成分含量：甘精胰岛素0.36%，甘油（供注射用）1.7%，间甲酚0.27%，注射用水97.67%。
主要成分：甘精胰岛素
英文名称：Insulin glargine 
CAS号: 160337-95-1
分子式：C267H404N72O78S6 
分子量：6063
精确质量：6063
作用：调节糖代谢。胰岛素是通过促进骨骼肌和脂肪等周围组织摄取葡萄糖、抑制肝葡萄糖的产生而降低血糖的。胰岛素能抑制脂肪细胞内的脂解、抑制蛋白水解和促进蛋白质合成。
其他成分作用：
甘油（供注射用）：渗透压调节剂，用于将甘精胰岛素注射液渗透压调节至与血清渗透压一致，避免注射后产生不适感。
间甲酚：抑菌剂，用于抑制药液中微生物的生长，延长药液的保质期。
注射用水：溶剂，用于溶解甘精胰岛素和其它成分。
甘精胰岛素注射液生产工艺：
1.卡式瓶清洗：通过超声波清洗机对卡式瓶进行清洗。
2.卡式瓶灭菌：通过高温灭菌隧道对卡式瓶进行高温灭菌。
3.铝盖和胶塞清洗：通过专用清洗机对胶塞和铝盖进行清洗和灭菌。
4.无菌灌封：通过专用灌封机将胶塞推入卡式瓶底部，然后灌注甘精胰岛素药液进卡式瓶，最后用铝盖对卡式瓶进行封口。",武汉海关
R-2-4700-2024-0068,29371900,甘精胰岛素API,Insulin glargine API,,"外观：白色粉末
规格：600mg/批次
用途：用于甘精胰岛素的工艺特异性的宿主蛋白残留检测试剂盒的开发及分析方法验证。
功能：甘精胰岛素API为生产胰岛素注射液用原料药。原料药中可能残留极少量的宿主蛋白，在所开发的试剂盒方法中（酶联免疫检测法）可作为检测物被识别，并被定量其残留量，可用于方法准确性的评估和方法学验证。
成分含量： 95%的甘精胰岛素、5%残留的无机盐           
甘精胰岛素
英文名称：Insulin glargine 
CAS号: 160337-95-1
分子式：C267H404N72O78S6
分子量：6063
作用：甘精胰岛素在此方法开发中，需要评估甘精胰岛素的存在是否会干扰检测，以此来评估方法的适用性。
毕赤酵母细胞宿主蛋白：毕赤酵母细胞在生产发酵过程中分泌到细胞外或由于细胞裂解导致暴露在发酵上清液的蛋白质，其实质为毕赤酵母细胞自身存在的蛋白质，蛋白种类多，最高可达数千种，酵母细胞也为常用的食品饮料生产发酵的细胞之一，本身蛋白质的安全性相对较高，在试剂盒方法开发中，其作用为作为免疫抗原对新西兰大白兔进行免疫，制备兔源的多克隆抗体，用于开发双抗夹心elisa法，用于产品的宿主蛋白的检测。
甘精胰岛素API是由层析四收集液经结晶、冻干工艺后所获得，甘精胰岛素API中可能残留极少量的宿主蛋白，我们用开发的双抗夹心法对其进行检测，评估经纯化后的宿主蛋白残留的情况，由此来评估工艺的纯化效果，保证产品的安全性。
甘精胰岛素纯化工艺：原料为毕赤酵母细胞的发酵液，通过毕赤酵母发酵方法提高胰岛素及其类似物前体表达，产生毕赤酵母细胞的发酵液。毕赤酵母是一种微生物。毕赤酵母细胞的发酵液主要成分为发酵过程中分泌的甘精胰岛素前体、毕赤酵母生长过程中自分泌的蛋白，或由于细胞破裂所释放的细胞自身的宿主蛋白质，发酵完毕后，取其上清液进行后续的工艺纯化。
纯化工艺分为两个阶段。一是甘精胰岛素前体制备：先用离心的方式收集上清液，然后层析一直接从上清液中捕获前体，最后用沉淀的方法收集前体沉淀用于酶切制备甘精胰岛素；在本阶段主要是从体积较大的发酵液中捕获甘精胰岛素前体。二是甘精胰岛素制备：收集的前体沉淀，采用重组胰蛋白酶进行酶切，得到甘精胰岛素，再经过三步层析对其进行精制纯化，最终用结晶的方式获得甘精胰岛素，经冻干得到甘精胰岛素API成品；本阶段主要是将甘精胰岛素前体通过酶切形成甘精胰岛素，使用层析的方法对其进行精制纯化。",武汉海关
R-2-2200-2024-0241,84781000,切丝机,CUTTER,,商品名称：切丝机。型号：KT 3-S160。产地：德国。用途：用于烟草生产的制烟丝工序，将片烟或烟梗切成一定宽度的烟丝或梗丝。商品构成：切丝机设备由进料装置、刀门系统、刀辊组件、磨刀装置、驱动单元和控制系统等组成。1、进料装置为振动输送机，由机架和振动输送槽体组成，由一个齿轮电机驱动，将物料输送到压实区域。2、刀门系统由输送排链区域与刀门组成，使用压缩空气气缸产生压力（压缩空气由工厂动力车间生产，通过管道输送到气缸），通过一套杠杆系统将压力施加到输送链及刀门上，压实、夹紧物料。3、刀辊组件由刀辊体、刀片、轴承座、进刀机构等组成，将被压实的物料切丝。4、磨刀装置由砂轮与金刚石修整单元组成，通过砂轮保持刀片锋利，用金刚石对砂轮表面进行清洁与修整。5、切丝机的主驱动通过内部的一套模块化、数字驱动系统激发。6、控制系统为一套西门子的可编程控制器，负责所有功能的开环、闭环控制，以及分布式输入、输出，驱动系统和安全PLC的通讯。材质：机器主要采用型钢、铸铁、不锈钢材质。报验状态：整机申报。包装：木箱。,上海海关
R-2-2200-2024-0236,73182900,推力轴承垫片,RING,,型号：3216 302 021 01，材质：合金钢制，推力轴承垫片制成一定厚度，安装于齿轮与平面推力轴承之间，平面端与齿轮接触，内圈车有凹槽，用于安装卡簧，给平面推力轴承定位，避免平面推力轴承轴向位移；锥形端与平面推力轴承接触，润滑油可以顺着锥形面进入平面推力轴承进行润滑；推力轴承垫片起到承摩、减振和调整轴向力作用。,上海海关
R-2-5100-2024-0066,85198139,学习机,无,,产品品名：学习机，主机尺寸：205*163*20MM；牌子：新雅文化；产品用途：助力幼儿经典启蒙，从看、听、点、读多元互动的方式，边玩边学，古诗名篇，启蒙国学，粤、普双语发声，适用于三岁或以上，需要配套特定卡片使用。工作原理：读：没有录音功能，当学习机检测到卡片插入时，即可启动读卡功能。卡片上的电芯片通过接触主机上的读取头，将存储的数据传输到主机内在中。主机通过内置音箱将卡片存储的语音读出并播放出来。看：对应放置在学习机的卡片上的图案；听：播放放置在学习机上卡片识别的内容；点：学习机正面有主页功能键，按下重复当前的卡片内容，学习机右侧有开关及音量档键；卡片上有粤语和普通话语言切换功能。有学习机与卡片分开销售，并非一体，可配套使用。,广州海关
R-2-8000-2024-0017,29362700,速溶VC微胶囊,Colorlets VC,,产品由羟丙基甲基纤维素和抗坏血酸（维生素C）构成，可用于面膜之中，具有美白抗氧化的作用，商品规格14-30mesh，用袋子和纸箱保存，商品由抗坏血酸（维生素C）（含量87-94%，活性物）、羟丙基甲基纤维素（含量6-13%，粘合剂）经由原料混料-搅拌-流化床喷雾-流化床造粒等工艺制作而成，PH值2.6-3.0,重庆海关
